sr_no,date_of_complaint,complaint_number,complainant_name_org,category_of_complaint,complaint,place_of_incident,violation_of_law,action_initiated,status,date_of_action_taken,state_id,page,ai_animal_type,ai_dog_type,ai_complaint_type
11,19/11/2025,9-4/2025-26/2565/PCA,-,-,"Reporting Bestiality 
Date: 19th November 2025
Place: Essa Pallavaram, Chennai
Today at around 4 am, I witnessed a homeless man inserting his fingers and tongue inside the private part of a cow which was sleeping on the road. This is a violation of a the body of the cow.","No. 16, kumarasamy street, essa pallavaram, chennai",-,-,-,15/01/2026,30,1,cow,Not Applicable,Not Applicable
12,18/11/2025,9-4/2025-26/2561/PCA,Unknown Government Bus Drivers Route Three B Sathampathi and Route Three D,-,"Reckless driving by government buses is a serious issue in our area. Many buses do not slow down or stop when they should. Because of this, many innocent street dogs are being hit and killed. Around 10 to 20 dogs have already died due to the careless and high-speed driving of government bus drivers.

The drivers do not slow down even when a dog is crossing the road. They continue driving fast, hit the animal, and do not stop. We are requesting a permanent solution to this problem and strict action against the drivers involved.

Two specific buses were part of such incidents
3B bus going towards Sathampathi, Karaikudi to Devakottai Road
3D bus today on the same road, which was speeding so much that I could not read the destination board

These incidents took place in Karaikudi, near Nataraja Theater.
We kindly request you to take action against these buses and prevent more animals from being harmed.

I have attached video evidence of the incidents

20251118093353.mp4 and 20251118093401.jpg  from today 18/09/2025, involving the 3D bus
VID20251118WA0004.mp4  from 29/01/2025 at around 9:00 PM, involving the 3B bus","CMC Road, Karaikudi",-,-,-,15/01/2026,30,1,dog,stray,harm_or_threat_to_dogs
13,15/11/2025,9-4/2025-26/2556/PCA,Ravi Ivar,-,"Unregistered Backyard breeding / Puppy Mill operating in very bad condition. Dogs are cages 24/7 in unhygenic, damaged cages. No protocols established regarding dog breeding followed.","IOB Colony Backside, Near Daksha Apartments, Marudhamalai Adivaram, Coimbatore - 641 046.",-,-,-,26/11/2025,30,1,dog,pet,Not Applicable
14,09/11/2025,9-4/2025-26/2547/PCA,-,-,"Dear Sir/Madam,
I am residing at 6 owners apartments and me and my wife two of the apartment owners.  In this apartment, one of the other apartment owners is making problems with me and forcing me to stop feeding animals, especially cats, pouring water on them, beating Using abusive words against me as well as threatening me if I continue to feed them.But in reality these cats are born and brought up in this apartment premises it 5 to 7 yrs back. In reality, I am feeding inside my apartment, not in a common area. Secondly,  Other than  these cats, Most of the cats dogs are coming from outside this building and roaming but the lady is simply blaming,warning  me and threatening us including my wife because I am feeding .We have kept a cleaning lady to clean animals urine and toilets in this apartment premises. Sometimes we also clean toilets and urines. But we are continuously getting threatening, fighting with us, and using abusive words on us.I need help on this matter","17/5, Rangappa street,Ayanavaram",-,-,-,26/11/2025,30,1,cat,Not Applicable,Not Applicable
15,06/11/2025,9-4/2025-26/2540/PCA,Alwar Nammalvar Dog home,-,"Respected Sir/Madam, Recently I came across this animal shelter which has been practicing animal cruelty in the name of dog shelter. The place looks horrible and the dogs are all so sick due to hygiene issues. The person there acts like a good person to the people and gets thousands of money from the people comes there to give their pets. He did not properly taking care of the dogs and the animals there look deeply sick and he is letting them to die. Please take action against this and close the animal shelter and rescue the animals there. I saw around 30 dogs atleast. I personally unable to take pictures so I am attaching reference video link from an youtube channel please play this https://www.youtube.com/watch?v=bCx-tEtJxRE and you will understand the situation. Request to take action as soon as possible. Thank you","Nammalvar dog home, Opposite to Ennayirathamman Kovil, Sivanthippatti Road, Sivanthipatti-627011 Tirunelveli district",-,-,-,12/11/2025,30,1,dog,unclear,harm_or_threat_to_dogs
16,05/11/2025,9-4/2025-26/2538/PCA,Senthil R,-,"Dear Sir/Madam,

My name is Vijayaraj S residing at the mentioned address. I am reporting the below issue, as I could not digest it.

In my area there was a female puppy dog 3 to 4 months old experiencing sickness and roaming here and there. The puppy dog was barking and aggressive due to the sickness. A person named Senthil R son of Raghu who resides on my same street, had arranged for 3 persons to kill the puppy. 

On Sunday night, 02Nov2025 at 10 30 pm, Senthil and his friends came with weapons such as big hammer and iron rods and beat the puppy dog rigorously in my street. A pity puppy dog ran here and there to escape, but a puppy could not be able to escape as Senthil and his friends beaten up the puppy dog very hard.

Senthil and his friends were beating the puppy dog continuously and very harshly. So the puppy dog was killed as Senthil and his friends beaten heavily.

If Senthil and his friends did not kill the puppy dog and left as it is, the puppy dog might have recovered from the fever in 3 or 5 days and continued her life normally.

I am requesting you to consider the below law acts and punish the accused:

Prevention of Cruelty to Animals Act, 1960, and newer provisions like Section 325 of the Bharatiya Nyaya Sanhita.","Perumal koil street,
Saidapet, 
Arni,
Pincode - 632301",-,-,-,12/11/2025,30,1,dog,unclear,harm_or_threat_to_dogs
17,04/11/2025,9-4/2025-26/2536/PCA,Aravinddasan,-,"No action taken against this complaint id simply closed. Recording this for further escalation. Not even contacted me 
This is to inform you that your complaint 9-4/2025-26/2418/PCA has been disposed-off. Please login to your AWBI account for more details.",Rk nagar 2nd Street coimbatore 641005,-,-,-,12/11/2025,30,1,unclear,Not Applicable,Not Applicable
18,13/10/2025,9-4/2025-26/2471/PCA,-,-,Done ABC for 2 adults vaccinated rabis for 7 puppies..they creating issues not to feed them and said they will ask the corporation to relocate puppies and mother And male dogs zonal office not yet provided the feeders spots after done vaccination and ABC.. they are harassing me not to feed.puppies 4 th month fixed a slot in December months..they are all fighting with me .do support me ...I did my best for the ppl and the dogs ..still they are torturing and they are throwing stones at the dogs ...and said if the stray dog bites will u take the responsibility.and in apartment they not letting me feed cats even in my windows..and they shouting me only dogs coming to the apartment...a lot mental harassments.. throwing stones in the windows dont know what to do went to zone 9 ganga nagar Kodambakkam corporation office to file a request letter to allotment a feeders spots but they are not receiving the letter so much of harrassment... here 5 Abc done adults 7 rabis vaccinated puppies here.save the voiceless please...its very painful to hold them safe .I am suffering a lot..do the needful please,"G2 ,A block, priya's Srinivas court, ganga nagar 1st main road,
Kodambakkam, Chennai 24",-,-,-,04/11/2025,30,1,dog,stray,harm_or_threat_to_feeders
19,11/10/2025,9-4/2025-26/2460/PCA,Ntecl township management,-,"Urgent complaint   Illegal relocation of street dogs from NTECL Township, Ennore, Chennai.
Around August 22, 2025, several community dogs from the township were caught and removed by NTECL management or their workers. The dogs have not been returned and are missing for many weeks.
This act is cruelty and violates the Animal Birth Control and the Prevention of Cruelty to Animals Act, 1960, which strictly prohibit relocation of street dogs.Please treat this as an urgent and extreme cruelty case. Request immediate enquiry, tracing of the removed dogs, and strict action aganist the responsible persons.The dogs life are in danger.I have also filed rti but it is taking long time to respond and time has  been more than 1 month since dogs were illegally taken away.kindly respond quickly.","Ntecl township,vallur
Thiruvallur district,
Tamilnadu",-,-,-,04/11/2025,30,1,dog,stray,harm_or_threat_to_dogs
20,07/10/2025,9-4/2025-26/2446/PCA,Rajesh Mohan,-,A dog was thrown from top floor of a house into the park and it is dead. Kindly inspect please.,"24, Basavaraju Nilayam
1st fl. B1, Nagarjuna 1st street. west mambalam",-,-,-,22/10/2025,30,1,dog,stray,harm_or_threat_to_dogs
21,08/10/2025,9-4/2025-26/2439/PCA,TIANA APARTMENT ASSOCIATION,-,"The apartment association of Hiranandani Township in Chennai along with the local police has recently taken illegal and unethical steps against community animal feeders. In a meeting held on October 7 2025 led by Inspector Venkatesan the residents and association members were wrongly informed that feeding community dogs within the township is prohibited and any feeders will face police complaints. Following this, posters have been put up all over the township warning that feeding community animals within the premises will attract police action. This is clear intimidation of caregivers and a gross misrepresentation of the Supreme Court order.

The Supreme Court has never imposed a blanket ban on feeding community dogs. It has only directed that feeding must be done at designated spots to avoid inconvenience to residents. These designated spots are meant to be within the premises in areas with limited human movement. However the apartment association and the inspector have twisted this ruling to suit their own agenda by completely banning feeding within the township and directing feeders to go three kilometers away to feed the animals. This is not only illegal but also impractical and cruel. The community dogs are part of this township ecosystem and shifting them far away is against both AWBI and Supreme Court guidelines.

Such actions violate the Prevention of Cruelty to Animals Act and the standing directions of the Animal Welfare Board of India which mandate that feeding spots for community animals be identified within every residential complex. The association and the police have deliberately spread false information and threatened legal action against feeders creating fear and hostility in the community.

I request the Animal Welfare Board of India to take strict action against the Hiranandani Apartment Association and Inspector Venkatesan for violating AWBI and Supreme Court guidelines intimidating animal caregivers and propagating false interpretations of the law. Immediate intervention is needed to remove the illegal posters stop the harassment of feeders and ensure that designated feeding areas are established within the township in compliance with AWBI regulations.","Post, IT Park, 5/63 Old Mahabalipuram Road, Egattur Village, Opposite Siruseri, Thazhambur, Chennai, 600130, India",-,-,-,22/10/2025,30,1,dog,stray,harm_or_threat_to_feeders
22,01/10/2025,9-4/2025-26/2418/PCA,Aravinddasan,-,Neighborhood dig is continuously and vigorously shouting at nights. Several times intimated to their care taker. Still no action taking out. It was tied up by 24/7. Whole night it was barking and neighbours were highly stressed and unable to sleep peacefully because of barking,Rk nagar 2nd cross,-,-,-,04/11/2025,30,1,dog,pet,harm_fear_or_nuisance_by_dogs
23,16/09/2025,9-4/2025-26/2347/PCA,-,-,"Dear sir/madam,

I am a resident of 3/1996, Raniji Nagar, Madhanandhapuram, Porur, Chennai. I wish to bring to your attention a serious issue concerning the treatment of dogs in our residential premises, which is also causing significant nuisance and safety concerns for the residents. A resident in our building has 3 dogs and she is not taking care of them properly.

1. The dogs are tied up and locked inside the house almost the entire day without being taken for proper walks or exercise. This amount to neglect and raised serious welfare concerns.

2. One of the dogs appears to be unwell, as it frequently coughs. This not only indicates poor health and lack of medical attention but also poses potential health risks to the residents.

3. The dogs bark continuously during day and night, disturbing the peace of the entire building. Families with young children and elderly residents are finding it extremely difficult to rest.

4. At times, the dogs display aggressive behavior in common areas, creating fear and safety risk for residents, especially children.

We have attempted to approach the local authorities, but no effective action has been taken so far. Since this matter concerns both animal welfare and public safety, I request the urgent intervention of the Animal Welfare Board of India to
Investigate the welfare of these dogs and ensure they receive proper care, medical attention and humane treatment.

Direct the concerned local body to take necessary steps to resolve the public nuisance and safety risks.
Safeguard the well-being of both the residents and the animals, while restoring peace in the locality.

I kindly request your urgent attention to this matter and would appreciate a response.

Sincerely,
Aadhithyan
Address: 3/1996, Raniji Nagar, Madhanandhapuram, Porur, Chennai - 600116
Phone: 9787190505","3/1996, Raniji Nagar, Madhanandhapuram, Porur, Chennai",-,-,-,03/12/2025,30,1,dog,pet,harm_fear_or_nuisance_by_dogs
24,28/08/2025,9-4/2025-26/2272/PCA,Premnath,-,"I am writing to lodge a serious complaint regarding a chained dog in my neighborhood that has been continuously howling day and night for the past several months. This constant howling has become unbearable and is causing significant distress, especially to children and senior citizens in the area. Despite raising this issue with the Coimbatore Corporation earlier and attaching a copy of that complaint, no visible action has been taken. The dog remains chained at all times and its prolonged howling clearly indicates distress, neglect or both. Not only is this a violation of animal welfare principles but it has also created a public nuisance that directly affects our daily lives. I am attaching supporting video and audio recordings taken from my premises which clearly capture the situation. I am drafting this complaint in the early hours of the morning after yet another sleepless night where my children were frightened and could not rest due to the relentless howling. This issue has persisted for too long and the inaction has left us with no choice but to escalate it to your Board. I kindly urge you to investigate the condition and treatment of the dog ensuring it is not subjected to cruelty by being chained for prolonged periods, to take appropriate steps against the owner for failing to control the nuisance despite prior complaints and to provide immediate relief to residents who are enduring severe mental and emotional strain due to this constant disturbance. We sincerely request urgent intervention both for the welfare of the dog and for the well being of the families affected.","Mudaliyar Street, Sundarapuram  Coimbatore",-,-,-,04/11/2025,30,1,dog,pet,harm_fear_or_nuisance_by_dogs
25,22/08/2025,9-4/2025-26/2251/PCA,-,-,"A family in my area is catching domestic cats and eating cat meat. This is my third cat gone missing. They are very rude if we reveal our name. They are rude to neighbors also who revealed the truth to us. I need help in saving my cat. I dont know their name but I know their residence. We can secretly record their future actions and put the whole family behind bars. Please help me. I dontt want my or anyones cat to become food for anyone. Help me, help me please. They are like my babies.","Sri Ram Nagar, C Ayyampalayam, Mannachanallur",-,-,-,23/09/2025,30,1,cat,Not Applicable,Not Applicable
26,19/08/2025,9-4/2025-26/2241/PCA,-,-,"On 19 of August my cat fell ill eating outside food and roaming near neighbour house.The cat showed severe symptoms like vomiting, diarrhea, continuous saliva.
Which are consistent with poisioning 
In shock and grief i burried my cat after passed away.
However I strongly suspect that this was a case of deliberate poisioning because 
The death was sudden and unusual",-,-,-,-,23/09/2025,30,1,cat,Not Applicable,Not Applicable
27,19/08/2025,9-4/2025-26/2232/PCA,Vaisali,-,"In our street more than 10 dogs are living  there , yesterday night my dog has been vomiting full of saliva and becomes a critical situation and suddenly died, we thought food poison and referd vetrenary clinic and gave medicine to my dog then another 4 dogs were died in our street we suspect that the unknown person may kept poison to dogs this is very worst 
thing we the family suffering for my dogs death please consider my complaint and take the action immediately to save dogs because the dogs are saving humans from theft and other good things please consider our feelings and take my complaint as serious and take immediate action thank you","No.1 vvr nagar 3rd floor street MelPattambakkam panruti.tk Cuddalore 
607104",-,-,-,23/09/2025,30,1,dog,stray,harm_or_threat_to_dogs
28,18/08/2025,9-4/2025-26/2226/PCA,Beulah,-,"There are over 10 tenants on the ground floor who collectively have 6 dogs. Since we live on the first floor with children, we would like to know whether these dogs are properly vaccinated. The way the dogs are being managed raises some concerns, and we are worried they may not be adequately vaccinated or well cared for.","18/61 Kanakkar street, Thiruvottiyur, Chennai- 19",-,-,-,26/08/2025,30,1,dog,pet,harm_due_to_fear
29,16/08/2025,9-4/2025-26/2216/PCA,-,-,"The growing issue of stray dogs in our street and nearby streets. These stray dogs are causing serious safety concerns for the residents, particularly for children and elderly people.
A couple of weeks back, one of the stray dogs bit an elderly woman, which created panic and fear among the people in our locality. Parents are now afraid to let their children go outside, and senior citizens also feel unsafe to step out for their regular walks. The dogs frequently bark, chase, and create a disturbing environment, making daily life difficult for everyone.
I kindly request you to take immediate action to catch and relocate these stray dogs, so that the residents can live without fear and feel safe in our area.
We would be grateful if this issue is addressed at the earliest.","3b meru nagar, first street, pallikaranai",-,-,-,23/09/2025,30,1,dog,stray,harm_fear_or_nuisance_by_dogs
30,11/08/2025,9-4/2025-26/2187/PCA,-,-,i recently moved to this place and there is a cow tied with a rope and chain all time sun or heavy rains. Please help the distressed animal,"Mittenamili, near jay garden",-,-,-,22/10/2025,30,1,cow,Not Applicable,Not Applicable
31,09/08/2025,9-4/2025-26/2177/PCA,UMADEVI,-,"3 PUPPIES ARE GOT AND THROWN BY MY NEIGHBOUR LADY NAMED: ZUMADEVI,  IN UNIDENTIFIED AREAS, ALL THREE PUPPIES ARE HEALTHIER. SHE WAS BEATEN, CRUEL VIOLENCE ON PUPPIES. FINALLY SHE WAS ILLEGALLY GOT 3 PUPPIES WITH THE HELP LOCAL GOVERNMENT OFFICIALS AND AN NKNOWN AUTOMAN. 
PLEASE IMMEDIATLY ENQUIRE HER ILLEGAL ACTIVITY AIMED NOT TO FEED THAT PUPPIES. SHE WAS APPLIED VIOLENCE BEFORE THAT INCIDENT HERE. THOSE ALL 3 FEEDING PUPPIES WERE MISSING FROM MOTHER, ALL ASPECTS ARE RESPONSIBLE MY NEIGHBOUR LADY UMADEVI. 
PLEASE ENQUIRE HER IMMEDIATELY TO IDENTIFIED THE MISSING INNOCENT PUPPIES. 3 DAYS TO GO, THOSE PUPPIES NOT FEEDING. I AM UNABLE TO FIND OUT THE PUPPIES. 
ONLY KNOWN THAT AUTOMAN AND MY NEIGHBOUR LADY UMADEVI. PLEASE CONTACT HER LEGALLY HELP US TO FIND OUT THE INNOCENT PUPPIES.  PLEASE.","VALLALAR NAGAR, TIRUPATTUR, TIRUPATTUR DISTRICT",-,-,-,30/09/2025,30,1,dog,stray,harm_or_threat_to_dogs
32,06/08/2025,9-4/2025-26/2165/PCA,K PRAVEEN KUMAR,-,"This is to clarify that I, K. Praveen Kumar, son of Kannan, am the owner of the missing cow, with complaint number LTK25410265.

The cow, which was last seen on 05/08/2025 between 12:00 pm and 1:30 pm near Illalur Road, opposite Lake side, near the TASMAC, is still missing. The original complaint was filed, and a recent photograph of the cow has also been provided for easier identification.The cow is brown with a white face and white lower legs, and was last seen with a calf.

It was last spotted near the TASMAC wine shop opposite the Lake Side area on Illalur Road, Thirupporur.
I kindly request that all records be updated to reflect my ownership, and that the search and investigation continue on urgent priority. Please let me know if any further information or documents are required.

Thank you for your assistance.

Yours faithfully,
K. Praveen Kumar
S/o Kannan",40 Kumaran Nagar first Street Thirupporur,-,-,-,30/09/2025,30,1,cow,Not Applicable,Not Applicable
33,29/07/2025,9-4/2025-26/2126/PCA,-,-,"For the past 12 to 14 years, I have been feeding stray dogs in my area. As you all know, dogs from one street to another street wont allow other street dogs and vice versa. So, we used to feed our street dogs in front of our house and for nearby street we used feed them in their area in road. On 27 July 2025, timing between 9 to 9 30 pm as usual, I went to feed the dogs but one of the neighborhoods was causing trouble that not to feed the stray dogs in front of their house, but we are not feeding them in front of their house at all. We are feeding quit opposite of their house in road. Where there is a house compound, but it is attached to a drainage pathway. The road we use to feed dogs is a regular vehicle way, and we use to feed dogs in nighttime after 9, where there wont be any disturbance for vehicle or public walk over there. The compound as I mentioned before is a side compound which faces east the front the house is north. It is not related to any of them, they have quarreled a lot and shouting at me. I am 21 Years girl, cant able to defend myself they were 1 lady and 3 mens, everyone is elder than me in age 30s to 40s and above. They were literally shouting and took video of mine  that I am stating that feeding stray dogs is legal and I am not feeding in front of their house. Address 32,E Main Rd, Suthanthira Ponvizha Nagar, Bharathi Nagar, Katpadi, Vellore, Tamil Nadu-632006. I dont have any evidence against them, and I have done an online police complaint not yet actioned. As a current young adult cohort, I care for stray dogs but as elders they didnt but why are they stopping me. Please, I need the necessary support from you guys. I cant let the dogs stay hungry and emotionally I am hurt and worried of them . Please do immediate action as quickly as possible. I HAVE ALREADY SENT A MAIL TO OFFICIAL MAIL ID 3 TIMES. NO RESPONSE FROM POLICE ONLINE COMPLAINT ALSO. I cant let them in hunger. PLEASE TAKE IMMEDIATE ACTION.","32, E Main Rd, Sunthanthira Ponvizha Nagar, Bharathi Nagar, Katpadi, Vellore - 632006",-,-,-,27/08/2025,30,1,dog,stray,harm_or_threat_to_feeders
34,28/07/2025,9-4/2025-26/2121/PCA,R Prasanna Lakshmi and her tenant,-,"Dear sir/madam.
We are a peaceful family living with our beloved pet, a Labrador Retriever, at Flat no F1,Vaigai block, Dharma sastha vihar, Vilachery main road, Madurai. Our pet is very loving, calm ,clean and quiet. He never barks. He is fully vaccinated and causes no harm to anyone. he is more than just a pet, he is an ageing member of our family. He is always on a leash when taken for his walks twice a day and he is also well potty-trained. Unfortunately, for the past one year, our life has become unbearable because of the continuous humiliation and harassment from the opposite tenant. 
The tenants door is open all the time, each and everytime we take him on a walk she reacts with loud expression of disgust, covering her nose and uttering derogatory remarks the moment she sees our pet or if we open the door.For the past two months this behaviour has escalated. She deliberately pours large amount of water as soon as our pet walks out of our home and walks back in. This has made the floor slippery and it is dangerous for our pet and us. Our maid slipped many times. despite us cleaning up the stagnant water she keeps pouring. This could also lead to many accidents for people who are unaware and use the stairs. She pours water in a way that damages our slippers and doormats. The house owner recently texted on the welfares association whatsapp group stating there was a discussion held in the house owner meeting and they decided to BAN pets. The houseowner and the tenant are frequently bringing this subject on the whatsapp group and are forcing the association to take an action aganist us. We request you to intervene immediately to this issue and help us and our pet live with dignity by issuing a warning to the tenant and the house owner for their harassment and unsafe behaviour. We also request you to remind the Association that pets cannot be banned and pet owners cant be forced to give up on their pet.

our pet has been with us over a decade and we cant watch him suffer this cruelty any longer.
Please find attached the proofs. 
Thanks and regards 
Prerana Sanjay","F1 Vaigai Block Dharma Sastha Vihar
Villachery Main Road",-,-,-,27/08/2025,30,1,dog,pet,harm_fear_or_nuisance_by_dogs
35,23/07/2025,9-4/2025-26/2086/PCA,rv raja,-,Lot of dogs and cows roaming unusually near by my place..dog bark and made to fear every people is un danger..not able to walk freeely in nearby shop itself.. no proper walkway also district main place is in this worst condition.. pls take necessary action soon sir/madam,-,-,-,-,30/09/2025,30,1,dog,stray,harm_fear_or_nuisance_by_dogs
